TimeStamp,Name,State
1177034.158,Input3,0
1177066.070,Input3,1
1178857.279,Input2,0
1178873.237,Input1,0
1178968.981,Input1,1
1179624.232,Input3,0
1181478.272,Input3,1
1181494.228,Input3,0
1181542.100,Input3,1
1181654.798,Input2,1
1181654.798,Input4,0
1181654.798,Input3,0
1181686.715,Input3,1
1181750.564,Input4,1
1182102.194,Input3,0
1182118.120,Input3,1
1188527.900,Input2,0
1188543.857,Input1,0
1188640.603,Input1,1
1189279.888,Input3,0
1204871.373,Input2,1
1204871.373,Input3,1
